Names,Age,Team,Nationality,Contract Expiration,Page Link,Name ID,Manager ID,Manager Profile
Luis Enrique,54,Paris Saint-Germain,Spain,"Jun 30, 2025",https://www.transfermarkt.us/luis-enrique/profil/trainer/6499,luis-enrique,6499,https://img.a.transfermarkt.technology/portrait/header/6499-1535801610.jpg?lm=1
Roberto De Zerbi,45,Olympique Marseille,Italy,"Jun 30, 2027",https://www.transfermarkt.us/roberto-de-zerbi/profil/trainer/32157,roberto-de-zerbi,32157,https://img.a.transfermarkt.technology/portrait/header/32157-1683271864.jpg?lm=1
Adi Hütter,54,AS Monaco,Austria,"Jun 30, 2025",https://www.transfermarkt.us/adi-hutter/profil/trainer/5018,adi-hutter,5018,https://img.a.transfermarkt.technology/portrait/header/5018-1716792912.jpg?lm=1
Bruno Génésio,58,LOSC Lille,France,"Jun 30, 2026",https://www.transfermarkt.us/bruno-genesio/profil/trainer/5036,bruno-genesio,5036,https://img.a.transfermarkt.technology/portrait/header/5036-1668528980.jpg?lm=1
Pierre Sage,45,Olympique Lyon,France,"Jun 30, 2026",https://www.transfermarkt.us/pierre-sage/profil/trainer/110443,pierre-sage,110443,https://img.a.transfermarkt.technology/portrait/header/110443-1669325355.jpg?lm=1
Franck Haise,53,OGC Nice,France,"Jun 30, 2027",https://www.transfermarkt.us/franck-haise/profil/trainer/27176,franck-haise,27176,https://img.a.transfermarkt.technology/portrait/header/27176-1594322896.jpg?lm=1
Will Still,32,RC Lens,England,"Jun 30, 2027",https://www.transfermarkt.us/will-still/profil/trainer/53316,will-still,53316,https://img.a.transfermarkt.technology/portrait/header/53316-1507801150.jpg?lm=1
Christophe Pélissier,59,AJ Auxerre,France,"Jun 30, 2025",https://www.transfermarkt.us/christophe-pelissier/profil/trainer/24802,christophe-pelissier,24802,https://img.a.transfermarkt.technology/portrait/header/24802-1594313598.jpg?lm=1
Luka Elsner,42,Stade Reims,Slovenia,"Jun 30, 2026",https://www.transfermarkt.us/luka-elsner/profil/trainer/23576,luka-elsner,23576,https://img.a.transfermarkt.technology/portrait/header/23576-1601314976.jpg?lm=1
Carles Martínez,40,FC Toulouse,Spain,"Jun 30, 2026",https://www.transfermarkt.us/carles-martinez/profil/trainer/40683,carles-martinez,40683,https://img.a.transfermarkt.technology/portrait/header/40683-1690565095.jpg?lm=1
Éric Roy,57,Stade Brestois 29,France,"Jun 30, 2025",https://www.transfermarkt.us/eric-roy/profil/trainer/11590,eric-roy,11590,https://img.a.transfermarkt.technology/portrait/header/11590-1701959876.jpg?lm=1
Jorge Sampaoli,64,Stade Rennais FC,Argentina,"Jun 30, 2026",https://www.transfermarkt.us/jorge-sampaoli/profil/trainer/10819,jorge-sampaoli,10819,https://img.a.transfermarkt.technology/portrait/header/10819-1669112571.jpg?lm=1
Liam Rosenior,40,RC Strasbourg Alsace,England,"Jun 30, 2027",https://www.transfermarkt.us/liam-rosenior/profil/trainer/62134,liam-rosenior,62134,https://img.a.transfermarkt.technology/portrait/header/62134-1682083745.jpg?lm=1
Alexandre Dujeux,48,Angers SCO,France,"Jun 30, 2025",https://www.transfermarkt.us/alexandre-dujeux/profil/trainer/24061,alexandre-dujeux,24061,https://img.a.transfermarkt.technology/portrait/header/24061-1678271164.jpg?lm=1
Olivier Dall'Oglio,60,AS Saint-Étienne,France,"Jun 30, 2025",https://www.transfermarkt.us/olivier-dalloglio/profil/trainer/14547,olivier-dalloglio,14547,https://img.a.transfermarkt.technology/portrait/header/14547-1594135639.jpg?lm=1
Didier Digard,38,Le Havre AC,France,"Jun 30, 2026",https://www.transfermarkt.us/didier-digard/profil/trainer/92937,didier-digard,92937,https://img.a.transfermarkt.technology/portrait/header/92937-1675679296.jpg?lm=1
Antoine Kombouaré,61,FC Nantes,France,"Jun 30, 2026",https://www.transfermarkt.us/antoine-kombouare/profil/trainer/1224,antoine-kombouare,1224,https://img.a.transfermarkt.technology/portrait/header/1224-1594990243.jpg?lm=1
Jean-Louis Gasset,70,Montpellier HSC,France,"Jun 30, 2025",https://www.transfermarkt.us/jean-louis-gasset/profil/trainer/2024,jean-louis-gasset,2024,https://img.a.transfermarkt.technology/portrait/header/2024-1448017563.jpg?lm=1
