Names,Age,Team,Position,Roles,Nationality,Market Value (In Millions),Player Profile Link,Name ID,ID,League,Player Image
Myles Lewis-Skelly,18,Arsenal FC,Defensive Midfield,Midfield,England,€5.00m,https://www.transfermarkt.us/myles-lewis-skelly/profil/spieler/890721,myles-lewis-skelly,890721,Premier League,https://img.a.transfermarkt.technology/portrait/header/890721-1682599516.jpg?lm=1
Mikel Merino,28,Arsenal FC,Central Midfield,Midfield,Spain,€50.00m,https://www.transfermarkt.us/mikel-merino/profil/spieler/338424,mikel-merino,338424,Premier League,https://img.a.transfermarkt.technology/portrait/header/338424-1716803831.jpg?lm=1
Martin Ødegaard,25,Arsenal FC,Attacking Midfield,Midfield,Norway,€110.00m,https://www.transfermarkt.us/martin-odegaard/profil/spieler/316264,martin-odegaard,316264,Premier League,https://img.a.transfermarkt.technology/portrait/header/316264-1678877651.jpg?lm=1
Ethan Nwaneri,17,Arsenal FC,Attacking Midfield,Midfield,England,€12.00m,https://www.transfermarkt.us/ethan-nwaneri/profil/spieler/890719,ethan-nwaneri,890719,Premier League,https://img.a.transfermarkt.technology/portrait/header/890719-1730794927.jpg?lm=1
Gabriel Martinelli,23,Arsenal FC,Left Winger,Attack,Brazil,€60.00m,https://www.transfermarkt.us/gabriel-martinelli/profil/spieler/655488,gabriel-martinelli,655488,Premier League,https://img.a.transfermarkt.technology/portrait/header/655488-1682689091.jpg?lm=1
Leandro Trossard,29,Arsenal FC,Left Winger,Attack,Belgium,€35.00m,https://www.transfermarkt.us/leandro-trossard/profil/spieler/144028,leandro-trossard,144028,Premier League,https://img.a.transfermarkt.technology/portrait/header/144028-1702412939.jpg?lm=1
Raheem Sterling,29,Arsenal FC,Left Winger,Attack,England,€35.00m,https://www.transfermarkt.us/raheem-sterling/profil/spieler/134425,raheem-sterling,134425,Premier League,https://img.a.transfermarkt.technology/portrait/header/134425-1684165974.jpg?lm=1
Bukayo Saka,23,Arsenal FC,Right Winger,Attack,England,€140.00m,https://www.transfermarkt.us/bukayo-saka/profil/spieler/433177,bukayo-saka,433177,Premier League,https://img.a.transfermarkt.technology/portrait/header/433177-1684155052.jpg?lm=1
Kai Havertz,25,Arsenal FC,Centre-Forward,Attack,Germany,€75.00m,https://www.transfermarkt.us/kai-havertz/profil/spieler/309400,kai-havertz,309400,Premier League,https://img.a.transfermarkt.technology/portrait/header/309400-1683903902.jpg?lm=1
Gabriel Jesus,27,Arsenal FC,Centre-Forward,Attack,Brazil,€55.00m,https://www.transfermarkt.us/gabriel-jesus/profil/spieler/363205,gabriel-jesus,363205,Premier League,https://img.a.transfermarkt.technology/portrait/header/363205-1669711141.jpg?lm=1
Emiliano Martínez,32,Aston Villa,Goalkeeper,Goalkeeper,Argentina,€28.00m,https://www.transfermarkt.us/emiliano-martinez/profil/spieler/111873,emiliano-martinez,111873,Premier League,https://img.a.transfermarkt.technology/portrait/header/111873-1668180824.jpg?lm=1
Joe Gauci,24,Aston Villa,Goalkeeper,Goalkeeper,Australia,€1.50m,https://www.transfermarkt.us/joe-gauci/profil/spieler/591844,joe-gauci,591844,Premier League,https://img.a.transfermarkt.technology/portrait/header/591844-1703230842.jpg?lm=1
Robin Olsen,34,Aston Villa,Goalkeeper,Goalkeeper,Sweden,€1.50m,https://www.transfermarkt.us/robin-olsen/profil/spieler/75458,robin-olsen,75458,Premier League,https://img.a.transfermarkt.technology/portrait/header/75458-1697721104.jpg?lm=1
Pau Torres,27,Aston Villa,Centre-Back,Defender,Spain,€45.00m,https://www.transfermarkt.us/pau-torres/profil/spieler/399776,pau-torres,399776,Premier League,https://img.a.transfermarkt.technology/portrait/header/399776-1691079911.jpg?lm=1
Ezri Konsa,27,Aston Villa,Centre-Back,Defender,England,€35.00m,https://www.transfermarkt.us/ezri-konsa/profil/spieler/413403,ezri-konsa,413403,Premier League,https://img.a.transfermarkt.technology/portrait/header/413403-1700651779.jpg?lm=1
Diego Carlos,31,Aston Villa,Centre-Back,Defender,Brazil,€12.00m,https://www.transfermarkt.us/diego-carlos/profil/spieler/329145,diego-carlos,329145,Premier League,https://img.a.transfermarkt.technology/portrait/header/329145-1695656525.jpg?lm=1
Tyrone Mings,31,Aston Villa,Centre-Back,Defender,England,€10.00m,https://www.transfermarkt.us/tyrone-mings/profil/spieler/253677,tyrone-mings,253677,Premier League,https://img.a.transfermarkt.technology/portrait/header/253677-1593437372.jpg?lm=1
Kortney Hause,29,Aston Villa,Centre-Back,Defender,England,€2.00m,https://www.transfermarkt.us/kortney-hause/profil/spieler/233124,kortney-hause,233124,Premier League,https://img.a.transfermarkt.technology/portrait/header/233124-1700671308.jpg?lm=1
Lamare Bogarde,20,Aston Villa,Centre-Back,Defender,Netherlands,€0.45m,https://www.transfermarkt.us/lamare-bogarde/profil/spieler/645686,lamare-bogarde,645686,Premier League,https://img.a.transfermarkt.technology/portrait/header/645686-1724484880.jpg?lm=1
Ian Maatsen,22,Aston Villa,Left-Back,Defender,Netherlands,€40.00m,https://www.transfermarkt.us/ian-maatsen/profil/spieler/485585,ian-maatsen,485585,Premier League,https://img.a.transfermarkt.technology/portrait/header/485585-1704795222.jpg?lm=1
Lucas Digne,31,Aston Villa,Left-Back,Defender,France,€12.00m,https://www.transfermarkt.us/lucas-digne/profil/spieler/126664,lucas-digne,126664,Premier League,https://img.a.transfermarkt.technology/portrait/header/126664-1663014267.jpg?lm=1
Matty Cash,27,Aston Villa,Right-Back,Defender,Poland,€28.00m,https://www.transfermarkt.us/matty-cash/profil/spieler/425334,matty-cash,425334,Premier League,https://img.a.transfermarkt.technology/portrait/header/425334-1668091733.jpg?lm=1
Kosta Nedeljkovic,18,Aston Villa,Right-Back,Defender,Serbia,€8.00m,https://www.transfermarkt.us/kosta-nedeljkovic/profil/spieler/848682,kosta-nedeljkovic,848682,Premier League,https://img.a.transfermarkt.technology/portrait/header/848682-1694785153.jpg?lm=1
Amadou Onana,23,Aston Villa,Defensive Midfield,Midfield,Belgium,€55.00m,https://www.transfermarkt.us/amadou-onana/profil/spieler/485706,amadou-onana,485706,Premier League,https://img.a.transfermarkt.technology/portrait/header/485706-1718697649.jpg?lm=1
Boubacar Kamara,25,Aston Villa,Defensive Midfield,Midfield,France,€38.00m,https://www.transfermarkt.us/boubacar-kamara/profil/spieler/394327,boubacar-kamara,394327,Premier League,https://img.a.transfermarkt.technology/portrait/header/394327-1604256413.jpg?lm=1
John McGinn,30,Aston Villa,Central Midfield,Midfield,Scotland,€30.00m,https://www.transfermarkt.us/john-mcginn/profil/spieler/193116,john-mcginn,193116,Premier League,https://img.a.transfermarkt.technology/portrait/header/193116-1689172405.jpg?lm=1
Youri Tielemans,27,Aston Villa,Central Midfield,Midfield,Belgium,€30.00m,https://www.transfermarkt.us/youri-tielemans/profil/spieler/249565,youri-tielemans,249565,Premier League,https://img.a.transfermarkt.technology/portrait/header/249565-1716886438.jpg?lm=1
Ross Barkley,30,Aston Villa,Central Midfield,Midfield,England,€8.00m,https://www.transfermarkt.us/ross-barkley/profil/spieler/131978,ross-barkley,131978,Premier League,https://img.a.transfermarkt.technology/portrait/header/131978-1662368517.jpg?lm=1
Jacob Ramsey,23,Aston Villa,Attacking Midfield,Midfield,England,€32.00m,https://www.transfermarkt.us/jacob-ramsey/profil/spieler/503749,jacob-ramsey,503749,Premier League,https://img.a.transfermarkt.technology/portrait/header/503749-1687975464.jpg?lm=1
Morgan Rogers,22,Aston Villa,Attacking Midfield,Midfield,England,€22.00m,https://www.transfermarkt.us/morgan-rogers/profil/spieler/503743,morgan-rogers,503743,Premier League,https://img.a.transfermarkt.technology/portrait/header/503743-1706786450.jpg?lm=1
Emiliano Buendía,27,Aston Villa,Attacking Midfield,Midfield,Argentina,€20.00m,https://www.transfermarkt.us/emiliano-buendia/profil/spieler/321247,emiliano-buendia,321247,Premier League,https://img.a.transfermarkt.technology/portrait/header/321247-1696604099.jpg?lm=1
Jaden Philogene,22,Aston Villa,Left Winger,Attack,England,€15.00m,https://www.transfermarkt.us/jaden-philogene/profil/spieler/665390,jaden-philogene,665390,Premier League,https://img.a.transfermarkt.technology/portrait/header/665390-1720427707.jpg?lm=1
Leon Bailey,27,Aston Villa,Right Winger,Attack,Jamaica,€42.00m,https://www.transfermarkt.us/leon-bailey/profil/spieler/387626,leon-bailey,387626,Premier League,https://img.a.transfermarkt.technology/portrait/header/387626-1694712703.jpg?lm=1
Ollie Watkins,28,Aston Villa,Centre-Forward,Attack,England,€65.00m,https://www.transfermarkt.us/ollie-watkins/profil/spieler/324358,ollie-watkins,324358,Premier League,https://img.a.transfermarkt.technology/portrait/header/324358-1708341279.jpg?lm=1
Jhon Durán,20,Aston Villa,Centre-Forward,Attack,Colombia,€35.00m,https://www.transfermarkt.us/jhon-duran/profil/spieler/649317,jhon-duran,649317,Premier League,https://img.a.transfermarkt.technology/portrait/header/649317-1645958151.jpg?lm=1
Kepa Arrizabalaga,30,AFC Bournemouth,Goalkeeper,Goalkeeper,Spain,€12.00m,https://www.transfermarkt.us/kepa-arrizabalaga/profil/spieler/192279,kepa-arrizabalaga,192279,Premier League,https://img.a.transfermarkt.technology/portrait/header/192279-1661855851.jpg?lm=1
Mark Travers,25,AFC Bournemouth,Goalkeeper,Goalkeeper,Ireland,€3.50m,https://www.transfermarkt.us/mark-travers/profil/spieler/357658,mark-travers,357658,Premier League,https://img.a.transfermarkt.technology/portrait/header/357658-1702296610.jpg?lm=1
Will Dennis,24,AFC Bournemouth,Goalkeeper,Goalkeeper,England,€0.35m,https://www.transfermarkt.us/will-dennis/profil/spieler/582078,will-dennis,582078,Premier League,https://img.a.transfermarkt.technology/portrait/header/582078-1651653108.jpg?lm=1
Ilya Zabarnyi,22,AFC Bournemouth,Centre-Back,Defender,Ukraine,€32.00m,https://www.transfermarkt.us/ilya-zabarnyi/profil/spieler/659089,ilya-zabarnyi,659089,Premier League,https://img.a.transfermarkt.technology/portrait/header/659089-1715881375.jpg?lm=1
Marcos Senesi,27,AFC Bournemouth,Centre-Back,Defender,Argentina,€22.00m,https://www.transfermarkt.us/marcos-senesi/profil/spieler/469781,marcos-senesi,469781,Premier League,https://img.a.transfermarkt.technology/portrait/header/469781-1576329259.jpg?lm=1
Dean Huijsen,19,AFC Bournemouth,Centre-Back,Defender,Spain,€12.00m,https://www.transfermarkt.us/dean-huijsen/profil/spieler/890290,dean-huijsen,890290,Premier League,https://img.a.transfermarkt.technology/portrait/header/890290-1676533236.jpg?lm=1
James Hill,22,AFC Bournemouth,Centre-Back,Defender,England,€2.00m,https://www.transfermarkt.us/james-hill/profil/spieler/611793,james-hill,611793,Premier League,https://img.a.transfermarkt.technology/portrait/header/611793-1633426138.png?lm=1
Milos Kerkez,21,AFC Bournemouth,Left-Back,Defender,Hungary,€20.00m,https://www.transfermarkt.us/milos-kerkez/profil/spieler/730861,milos-kerkez,730861,Premier League,https://img.a.transfermarkt.technology/portrait/header/730861-1660762995.jpg?lm=1
Max Aarons,24,AFC Bournemouth,Right-Back,Defender,England,€16.00m,https://www.transfermarkt.us/max-aarons/profil/spieler/471690,max-aarons,471690,Premier League,https://img.a.transfermarkt.technology/portrait/header/471690-1662465106.png?lm=1
Julián Araujo,23,AFC Bournemouth,Right-Back,Defender,Mexico,€8.00m,https://www.transfermarkt.us/julian-araujo/profil/spieler/513970,julian-araujo,513970,Premier League,https://img.a.transfermarkt.technology/portrait/header/513970-1646079609.JPG?lm=1
Adam Smith,33,AFC Bournemouth,Right-Back,Defender,England,€1.00m,https://www.transfermarkt.us/adam-smith/profil/spieler/61841,adam-smith,61841,Premier League,https://img.a.transfermarkt.technology/portrait/header/61841-1547728546.jpg?lm=1
Tyler Adams,25,AFC Bournemouth,Defensive Midfield,Midfield,United States,€15.00m,https://www.transfermarkt.us/tyler-adams/profil/spieler/332705,tyler-adams,332705,Premier League,https://img.a.transfermarkt.technology/portrait/header/332705-1666472142.jpg?lm=1
Alex Scott,21,AFC Bournemouth,Central Midfield,Midfield,England,€20.00m,https://www.transfermarkt.us/alex-scott/profil/spieler/855256,alex-scott,855256,Premier League,https://img.a.transfermarkt.technology/portrait/header/855256-1656922605.jpg?lm=1
Philip Billing,28,AFC Bournemouth,Central Midfield,Midfield,Denmark,€18.00m,https://www.transfermarkt.us/philip-billing/profil/spieler/320411,philip-billing,320411,Premier League,https://img.a.transfermarkt.technology/portrait/header/320411-1674468252.jpg?lm=1
Lewis Cook,27,AFC Bournemouth,Central Midfield,Midfield,England,€12.00m,https://www.transfermarkt.us/lewis-cook/profil/spieler/249089,lewis-cook,249089,Premier League,https://img.a.transfermarkt.technology/portrait/header/249089-1700671190.jpg?lm=1
Ryan Christie,29,AFC Bournemouth,Central Midfield,Midfield,Scotland,€12.00m,https://www.transfermarkt.us/ryan-christie/profil/spieler/188077,ryan-christie,188077,Premier League,https://img.a.transfermarkt.technology/portrait/header/188077-1697450633.jpg?lm=1
Marcus Tavernier,25,AFC Bournemouth,Left Midfield,Midfield,England,€20.00m,https://www.transfermarkt.us/marcus-tavernier/profil/spieler/399434,marcus-tavernier,399434,Premier League,https://img.a.transfermarkt.technology/portrait/header/399434-1700650360.jpg?lm=1
Dango Ouattara,22,AFC Bournemouth,Left Winger,Attack,Burkina Faso,€20.00m,https://www.transfermarkt.us/dango-ouattara/profil/spieler/823231,dango-ouattara,823231,Premier League,https://img.a.transfermarkt.technology/portrait/header/823231-1663162842.jpg?lm=1
Luis Sinisterra,25,AFC Bournemouth,Left Winger,Attack,Colombia,€17.00m,https://www.transfermarkt.us/luis-sinisterra/profil/spieler/512385,luis-sinisterra,512385,Premier League,https://img.a.transfermarkt.technology/portrait/header/512385-1674557520.jpg?lm=1
Justin Kluivert,25,AFC Bournemouth,Left Winger,Attack,Netherlands,€14.00m,https://www.transfermarkt.us/justin-kluivert/profil/spieler/330659,justin-kluivert,330659,Premier League,https://img.a.transfermarkt.technology/portrait/header/330659-1596107153.jpg?lm=1
Antoine Semenyo,24,AFC Bournemouth,Right Winger,Attack,Ghana,€20.00m,https://www.transfermarkt.us/antoine-semenyo/profil/spieler/583255,antoine-semenyo,583255,Premier League,https://img.a.transfermarkt.technology/portrait/header/583255-1628669787.jpg?lm=1
David Brooks,27,AFC Bournemouth,Right Winger,Attack,Wales,€8.00m,https://www.transfermarkt.us/david-brooks/profil/spieler/277033,david-brooks,277033,Premier League,https://img.a.transfermarkt.technology/portrait/header/277033-1700650102.jpg?lm=1
Evanilson,25,AFC Bournemouth,Centre-Forward,Attack,Brazil,€35.00m,https://www.transfermarkt.us/evanilson/profil/spieler/711337,evanilson,711337,Premier League,https://img.a.transfermarkt.technology/portrait/header/711337-1606396779.png?lm=1
Enes Ünal,27,AFC Bournemouth,Centre-Forward,Attack,Türkiye,€15.00m,https://www.transfermarkt.us/enes-unal/profil/spieler/251106,enes-unal,251106,Premier League,https://img.a.transfermarkt.technology/portrait/header/251106-1669365680.jpg?lm=1
Mark Flekken,31,Brentford FC,Goalkeeper,Goalkeeper,Netherlands,€12.00m,https://www.transfermarkt.us/mark-flekken/profil/spieler/125714,mark-flekken,125714,Premier League,https://img.a.transfermarkt.technology/portrait/header/125714-1658411484.jpg?lm=1
Hákon Rafn Valdimarsson,23,Brentford FC,Goalkeeper,Goalkeeper,Iceland,€2.50m,https://www.transfermarkt.us/hakon-rafn-valdimarsson/profil/spieler/488935,hakon-rafn-valdimarsson,488935,Premier League,https://img.a.transfermarkt.technology/portrait/header/488935-1689319830.jpg?lm=1
Matthew Cox,21,Brentford FC,Goalkeeper,Goalkeeper,England,€0.8m,https://www.transfermarkt.us/matthew-cox/profil/spieler/741236,matthew-cox,741236,Premier League,https://img.a.transfermarkt.technology/portrait/header/741236-1612879591.jpg?lm=1
Nathan Collins,23,Brentford FC,Centre-Back,Defender,Ireland,€25.00m,https://www.transfermarkt.us/nathan-collins/profil/spieler/469050,nathan-collins,469050,Premier League,https://img.a.transfermarkt.technology/portrait/header/469050-1688381729.jpg?lm=1
Sepp van den Berg,22,Brentford FC,Centre-Back,Defender,Netherlands,€18.00m,https://www.transfermarkt.us/sepp-van-den-berg/profil/spieler/541231,sepp-van-den-berg,541231,Premier League,https://img.a.transfermarkt.technology/portrait/header/541231-1692000386.jpg?lm=1
Kristoffer Ajer,26,Brentford FC,Centre-Back,Defender,Norway,€15.00m,https://www.transfermarkt.us/kristoffer-ajer/profil/spieler/328658,kristoffer-ajer,328658,Premier League,https://img.a.transfermarkt.technology/portrait/header/328658-1700649482.jpg?lm=1
Ethan Pinnock,31,Brentford FC,Centre-Back,Defender,Jamaica,€10.00m,https://www.transfermarkt.us/ethan-pinnock/profil/spieler/442248,ethan-pinnock,442248,Premier League,https://img.a.transfermarkt.technology/portrait/header/442248-1719836196.jpg?lm=1
Ben Mee,35,Brentford FC,Centre-Back,Defender,England,€1.00m,https://www.transfermarkt.us/ben-mee/profil/spieler/74810,ben-mee,74810,Premier League,https://img.a.transfermarkt.technology/portrait/header/74810-1700647998.jpg?lm=1
Ji-soo Kim,19,Brentford FC,Centre-Back,Defender,"Korea, South",€0.6m,https://www.transfermarkt.us/ji-soo-kim/profil/spieler/709767,ji-soo-kim,709767,Premier League,https://img.a.transfermarkt.technology/portrait/header/709767-1674265126.jpg?lm=1
Rico Henry,27,Brentford FC,Left-Back,Defender,England,€20.00m,https://www.transfermarkt.us/rico-henry/profil/spieler/339556,rico-henry,339556,Premier League,https://img.a.transfermarkt.technology/portrait/header/339556-1684771012.jpg?lm=1
Jayden Meghoma,18,Brentford FC,Left-Back,Defender,England,€0.0m,https://www.transfermarkt.us/jayden-meghoma/profil/spieler/954104,jayden-meghoma,954104,Premier League,https://img.a.transfermarkt.technology/portrait/header/954104-1725051533.jpg?lm=1
Aaron Hickey,22,Brentford FC,Right-Back,Defender,Scotland,€25.00m,https://www.transfermarkt.us/aaron-hickey/profil/spieler/591949,aaron-hickey,591949,Premier League,https://img.a.transfermarkt.technology/portrait/header/591949-1684772165.jpg?lm=1
Mads Roerslev,25,Brentford FC,Right-Back,Defender,Denmark,€10.00m,https://www.transfermarkt.us/mads-roerslev/profil/spieler/391005,mads-roerslev,391005,Premier League,https://img.a.transfermarkt.technology/portrait/header/391005-1684772936.jpg?lm=1
Vitaly Janelt,26,Brentford FC,Defensive Midfield,Midfield,Germany,€22.00m,https://www.transfermarkt.us/vitaly-janelt/profil/spieler/270171,vitaly-janelt,270171,Premier League,https://img.a.transfermarkt.technology/portrait/header/270171-1649932358.jpg?lm=1
Christian Nørgaard,30,Brentford FC,Defensive Midfield,Midfield,Denmark,€18.00m,https://www.transfermarkt.us/christian-norgaard/profil/spieler/148367,christian-norgaard,148367,Premier League,https://img.a.transfermarkt.technology/portrait/header/148367-1699799827.jpg?lm=1
Yunus Emre Konak,18,Brentford FC,Defensive Midfield,Midfield,Türkiye,€3.50m,https://www.transfermarkt.us/yunus-emre-konak/profil/spieler/1141628,yunus-emre-konak,1141628,Premier League,https://img.a.transfermarkt.technology/portrait/header/1141628-1691660915.png?lm=1
Mathias Jensen,28,Brentford FC,Central Midfield,Midfield,Denmark,€28.00m,https://www.transfermarkt.us/mathias-jensen/profil/spieler/319859,mathias-jensen,319859,Premier League,https://img.a.transfermarkt.technology/portrait/header/319859-1684771732.jpg?lm=1
Josh Dasilva,26,Brentford FC,Central Midfield,Midfield,England,€10.00m,https://www.transfermarkt.us/josh-dasilva/profil/spieler/340321,josh-dasilva,340321,Premier League,https://img.a.transfermarkt.technology/portrait/header/340321-1596444356.jpg?lm=1
Paris Maghoma,23,Brentford FC,Central Midfield,Midfield,England,€0.35m,https://www.transfermarkt.us/paris-maghoma/profil/spieler/470596,paris-maghoma,470596,Premier League,https://img.a.transfermarkt.technology/portrait/header/470596-1548064000.jpg?lm=1
Ryan Trevitt,21,Brentford FC,Central Midfield,Midfield,England,€0.275m,https://www.transfermarkt.us/ryan-trevitt/profil/spieler/874538,ryan-trevitt,874538,Premier League,https://img.a.transfermarkt.technology/portrait/header/874538-1686580996.jpg?lm=1
Fábio Carvalho,22,Brentford FC,Attacking Midfield,Midfield,Portugal,€18.00m,https://www.transfermarkt.us/fabio-carvalho/profil/spieler/559263,fabio-carvalho,559263,Premier League,https://img.a.transfermarkt.technology/portrait/header/559263-1687517452.jpg?lm=1
Yegor Yarmolyuk,20,Brentford FC,Attacking Midfield,Midfield,Ukraine,€10.00m,https://www.transfermarkt.us/yegor-yarmolyuk/profil/spieler/717411,yegor-yarmolyuk,717411,Premier League,https://img.a.transfermarkt.technology/portrait/header/717411-1639148047.png?lm=1
Kevin Schade,23,Brentford FC,Left Winger,Attack,Germany,€22.00m,https://www.transfermarkt.us/kevin-schade/profil/spieler/473050,kevin-schade,473050,Premier League,https://img.a.transfermarkt.technology/portrait/header/473050-1700560328.jpg?lm=1
Keane Lewis-Potter,23,Brentford FC,Left Winger,Attack,England,€18.00m,https://www.transfermarkt.us/keane-lewis-potter/profil/spieler/644401,keane-lewis-potter,644401,Premier League,https://img.a.transfermarkt.technology/portrait/header/644401-1642684319.jpg?lm=1
Mikkel Damsgaard,24,Brentford FC,Left Winger,Attack,Denmark,€10.00m,https://www.transfermarkt.us/mikkel-damsgaard/profil/spieler/540941,mikkel-damsgaard,540941,Premier League,https://img.a.transfermarkt.technology/portrait/header/540941-1668183899.jpg?lm=1
Gustavo Nunes,19,Brentford FC,Left Winger,Attack,Brazil,€10.00m,https://www.transfermarkt.us/gustavo-nunes/profil/spieler/1086375,gustavo-nunes,1086375,Premier League,https://img.a.transfermarkt.technology/portrait/header/1086375-1717523011.jpg?lm=1
Bryan Mbeumo,25,Brentford FC,Right Winger,Attack,Cameroon,€40.00m,https://www.transfermarkt.us/bryan-mbeumo/profil/spieler/413039,bryan-mbeumo,413039,Premier League,https://img.a.transfermarkt.technology/portrait/header/413039-1668505084.jpg?lm=1
Yoane Wissa,28,Brentford FC,Centre-Forward,Attack,DR Congo,€28.00m,https://www.transfermarkt.us/yoane-wissa/profil/spieler/388165,yoane-wissa,388165,Premier League,https://img.a.transfermarkt.technology/portrait/header/388165-1579276540.jpg?lm=1
Igor Thiago,23,Brentford FC,Centre-Forward,Attack,Brazil,€25.00m,https://www.transfermarkt.us/igor-thiago/profil/spieler/739443,igor-thiago,739443,Premier League,https://img.a.transfermarkt.technology/portrait/header/739443-1707939484.jpg?lm=1
Bart Verbruggen,22,Brighton & Hove Albion,Goalkeeper,Goalkeeper,Netherlands,€22.00m,https://www.transfermarkt.us/bart-verbruggen/profil/spieler/565093,bart-verbruggen,565093,Premier League,https://img.a.transfermarkt.technology/portrait/header/565093-1716990260.jpg?lm=1
Jason Steele,34,Brighton & Hove Albion,Goalkeeper,Goalkeeper,England,€3.50m,https://www.transfermarkt.us/jason-steele/profil/spieler/73564,jason-steele,73564,Premier League,https://img.a.transfermarkt.technology/portrait/header/73564-1681383960.jpg?lm=1
Jan Paul van Hecke,24,Brighton & Hove Albion,Centre-Back,Defender,Netherlands,€22.00m,https://www.transfermarkt.us/jan-paul-van-hecke/profil/spieler/576314,jan-paul-van-hecke,576314,Premier League,https://img.a.transfermarkt.technology/portrait/header/576314-1673362272.jpg?lm=1
Igor,26,Brighton & Hove Albion,Centre-Back,Defender,Brazil,€17.00m,https://www.transfermarkt.us/igor/profil/spieler/380350,igor,380350,Premier League,https://img.a.transfermarkt.technology/portrait/header/380350-1700737326.jpg?lm=1
Adam Webster,29,Brighton & Hove Albion,Centre-Back,Defender,England,€15.00m,https://www.transfermarkt.us/adam-webster/profil/spieler/212847,adam-webster,212847,Premier League,https://img.a.transfermarkt.technology/portrait/header/212847-1681737411.jpg?lm=1
Lewis Dunk,33,Brighton & Hove Albion,Centre-Back,Defender,England,€12.00m,https://www.transfermarkt.us/lewis-dunk/profil/spieler/148153,lewis-dunk,148153,Premier League,https://img.a.transfermarkt.technology/portrait/header/148153-1716297176.jpg?lm=1
Ferdi Kadıoğlu,25,Brighton & Hove Albion,Left-Back,Defender,Türkiye,€30.00m,https://www.transfermarkt.us/ferdi-kadioglu/profil/spieler/369316,ferdi-kadioglu,369316,Premier League,https://img.a.transfermarkt.technology/portrait/header/369316-1724792538.jpg?lm=1
Pervis Estupiñán,26,Brighton & Hove Albion,Left-Back,Defender,Ecuador,€30.00m,https://www.transfermarkt.us/pervis-estupinan/profil/spieler/349599,pervis-estupinan,349599,Premier League,https://img.a.transfermarkt.technology/portrait/header/349599-1668498118.jpg?lm=1
Imari Samuels,21,Brighton & Hove Albion,Left-Back,Defender,England,€0.1m,https://www.transfermarkt.us/imari-samuels/profil/spieler/565846,imari-samuels,565846,Premier League,https://img.a.transfermarkt.technology/portrait/header/565846-1724484681.jpg?lm=1
Tariq Lamptey,24,Brighton & Hove Albion,Right-Back,Defender,Ghana,€12.00m,https://www.transfermarkt.us/tariq-lamptey/profil/spieler/504148,tariq-lamptey,504148,Premier League,https://img.a.transfermarkt.technology/portrait/header/504148-1692364960.jpg?lm=1
Joël Veltman,32,Brighton & Hove Albion,Right-Back,Defender,Netherlands,€8.00m,https://www.transfermarkt.us/joel-veltman/profil/spieler/111195,joel-veltman,111195,Premier League,https://img.a.transfermarkt.technology/portrait/header/111195-1700650522.jpg?lm=1
Mats Wieffer,25,Brighton & Hove Albion,Defensive Midfield,Midfield,Netherlands,€30.00m,https://www.transfermarkt.us/mats-wieffer/profil/spieler/415381,mats-wieffer,415381,Premier League,https://img.a.transfermarkt.technology/portrait/header/415381-1673869834.jpg?lm=1
Carlos Baleba,20,Brighton & Hove Albion,Defensive Midfield,Midfield,Cameroon,€22.00m,https://www.transfermarkt.us/carlos-baleba/profil/spieler/973085,carlos-baleba,973085,Premier League,https://img.a.transfermarkt.technology/portrait/header/973085-1666690662.jpg?lm=1
Matt O'Riley,24,Brighton & Hove Albion,Central Midfield,Midfield,Denmark,€20.00m,https://www.transfermarkt.us/matt-oriley/profil/spieler/406634,matt-oriley,406634,Premier League,https://img.a.transfermarkt.technology/portrait/header/406634-1661800636.jpg?lm=1
Jack Hinshelwood,19,Brighton & Hove Albion,Central Midfield,Midfield,England,€20.00m,https://www.transfermarkt.us/jack-hinshelwood/profil/spieler/867688,jack-hinshelwood,867688,Premier League,https://img.a.transfermarkt.technology/portrait/header/867688-1698353957.jpg?lm=1
Jakub Moder,25,Brighton & Hove Albion,Central Midfield,Midfield,Poland,€10.00m,https://www.transfermarkt.us/jakub-moder/profil/spieler/384461,jakub-moder,384461,Premier League,https://img.a.transfermarkt.technology/portrait/header/384461-1716985274.jpg?lm=1
Yasin Ayari,21,Brighton & Hove Albion,Central Midfield,Midfield,Sweden,€4.50m,https://www.transfermarkt.us/yasin-ayari/profil/spieler/667287,yasin-ayari,667287,Premier League,https://img.a.transfermarkt.technology/portrait/header/667287-1662115248.jpg?lm=1
James Milner,38,Brighton & Hove Albion,Central Midfield,Midfield,England,€1.00m,https://www.transfermarkt.us/james-milner/profil/spieler/3333,james-milner,3333,Premier League,https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1
Julio Enciso,20,Brighton & Hove Albion,Attacking Midfield,Midfield,Paraguay,€22.00m,https://www.transfermarkt.us/julio-enciso/profil/spieler/660867,julio-enciso,660867,Premier League,https://img.a.transfermarkt.technology/portrait/header/660867-1669388786.jpg?lm=1
Kaoru Mitoma,27,Brighton & Hove Albion,Left Winger,Attack,Japan,€45.00m,https://www.transfermarkt.us/kaoru-mitoma/profil/spieler/504849,kaoru-mitoma,504849,Premier League,https://img.a.transfermarkt.technology/portrait/header/504849-1731683095.jpg?lm=1
Simon Adingra,22,Brighton & Hove Albion,Right Winger,Attack,Cote d'Ivoire,€30.00m,https://www.transfermarkt.us/simon-adingra/profil/spieler/658536,simon-adingra,658536,Premier League,https://img.a.transfermarkt.technology/portrait/header/658536-1666292606.jpg?lm=1
